pred_col,date,regime,top_return,bottom_return,equal_weight_return,exclude_bottom_return,long_short_return,top_minus_equal_weight,exclude_bottom_minus_equal_weight,n_top,n_bottom,n_total
pred_fe_b3,2021-02-22,other,0.007991586137494785,0.013395680800721394,0.009496767731482655,0.008522039464172971,-0.005404094663226609,-0.0015051815939878706,-0.0009747282673096842,41,40,200
pred_fe_b3,2021-03-01,other,0.02180266458410307,0.07171894784002923,0.03772438474244121,0.029225743968044213,-0.04991628325592616,-0.01592172015833814,-0.008498640774397,42,41,205
pred_fe_b3,2021-03-08,other,0.004258851454426007,0.01596423648303191,0.00951181676347743,0.007927689766461063,-0.011705385028605901,-0.0052529653090514225,-0.001584126997016367,42,41,208
pred_fe_b3,2021-03-15,other,0.00025136957544019727,0.002186462806944341,0.00349410713431173,0.003817079528420543,-0.0019350932315041437,-0.0032427375588715327,0.0003229723941088132,42,41,207
pred_fe_b3,2021-03-22,other,0.003807913690063651,-0.005445743029666275,-0.0031529830836534507,-0.002590089923255092,0.009253656719729926,0.006960896773717102,0.0005628931603983587,42,41,208
pred_fe_b3,2021-03-29,other,-0.03296306060278438,-0.0175084453786392,-0.02149247036005885,-0.022482440203926764,-0.01545461522414518,-0.01147059024272553,-0.0009899698438679133,42,41,206
pred_fe_b3,2021-04-05,other,0.0035353822762233633,0.016649034889953243,0.008846074122024223,0.0069071565978721635,-0.01311365261372988,-0.005310691845800859,-0.0019389175241520595,42,41,206
pred_fe_b3,2021-04-12,other,-0.01870029673370301,-0.02915732188597721,-0.02586160827352318,-0.025047606718639957,0.010457025152274202,0.007161311539820171,0.0008140015548832244,42,41,207
pred_fe_b3,2021-04-19,other,0.002038143082912776,-0.02451109819313068,-0.007903904589098822,-0.003777893755798979,0.026549241276043457,0.009942047672011598,0.004126010833299843,41,40,201
pred_fe_b3,2021-04-26,other,-0.018636367281074078,-0.01895488037585123,-0.009551550861578436,-0.007229741104967872,0.00031851309477715084,-0.009084816419495642,0.0023218097566105643,41,40,202
pred_fe_b3,2021-05-04,other,-0.01030308635044681,-0.0016980668671589736,0.0007339614791202593,0.0013271391245542185,-0.008605019483287837,-0.011037047829567069,0.0005931776454339592,41,40,204
pred_fe_b3,2021-05-10,other,0.01132814143347358,0.008249545770906051,0.01022606976686283,0.010714247380322034,0.0030785956625675286,0.0011020716666107506,0.00048817761345920467,42,41,207
pred_fe_b3,2021-05-17,other,-0.01101880590064667,-0.014156255072934049,-0.010825740318358286,-0.009993111629714347,0.0031374491722873793,-0.00019306558228838339,0.0008326286886439389,42,41,205
pred_fe_b3,2021-05-24,other,0.031906044162189395,-0.02644738127136774,-0.00479458639343412,0.0005858050610827179,0.058353425433557135,0.03670063055562352,0.005380391454516838,42,41,206
pred_fe_b3,2021-05-31,other,-0.004051556249078568,0.018642200056269775,0.009315986011271662,0.007012523506181768,-0.022693756305348343,-0.01336754226035023,-0.0023034625050898944,42,41,207
pred_fe_b3,2021-06-07,other,0.01177258343752199,-0.006787057392841681,0.004577481355870736,0.007401397044944732,0.018559640830363672,0.007195102081651254,0.0028239156890739955,42,41,206
pred_fe_b3,2021-06-14,other,0.005586063448555108,0.02830305736973576,0.018413507429484013,0.015985534090859333,-0.02271699392118065,-0.012827443980928905,-0.0024279733386246803,42,41,208
pred_fe_b3,2021-06-21,other,-0.022514944810979622,-0.02408416705070838,-0.022487705773478125,-0.022093399072475473,0.0015692222397287563,-2.7239037501496782e-05,0.0003943067010026523,42,41,207
pred_fe_b3,2021-06-28,other,-0.015221588929173352,-0.012567454163545252,-0.012620800237837734,-0.01263379479439616,-0.0026541347656281,-0.0026007886913356187,-1.2994556558426629e-05,39,38,194
pred_fe_b3,2021-07-05,other,-0.0017182150355192613,-0.04185017665124072,-0.009132739191489702,-0.0010029517014909623,0.040131961615721454,0.00741452415597044,0.008129787489998739,42,41,206
pred_fe_b3,2021-07-12,other,0.03315782324255364,0.025720504076294115,0.030619954804084887,0.03182227400108876,0.007437319166259525,0.002537868438468753,0.0012023191970038719,41,40,203
pred_fe_b3,2021-07-19,other,-0.0003285746737886409,0.01069313807099961,0.014076572741915275,0.014901800710431292,-0.011021712744788251,-0.014405147415703916,0.0008252279685160169,41,40,204
pred_fe_b3,2021-07-26,other,-0.004380966275861267,-0.00762771608152004,-0.00048278416364974094,0.0012705733622080013,0.0032467498056587734,-0.003898182112211526,0.0017533575258577422,41,40,203
pred_fe_b3,2021-08-02,other,-0.012525485505829378,0.02048004229425759,0.009196497533618331,0.006375611343458518,-0.03300552780008697,-0.02172198303944771,-0.002820886190159813,42,41,205
pred_fe_b3,2021-08-09,other,0.02864481221493436,0.014193090821326127,0.02158550673873727,0.023422410087912158,0.014451721393608234,0.0070593054761970905,0.0018369033491748878,42,41,206
pred_fe_b3,2021-08-16,other,0.012828705337687178,0.042227764757265626,0.021948248179033354,0.01699908044267905,-0.029399059419578447,-0.009119542841346176,-0.004949167736354305,42,41,209
pred_fe_b3,2021-08-23,other,0.04397786014385804,0.005840661671808407,0.02119534518011774,0.024987767010483303,0.03813719847204963,0.022782514963740296,0.0037924218303655617,42,41,207
pred_fe_b3,2021-08-30,other,-0.00047072584616959513,0.008275940832579641,0.0021946421405792493,0.0007030028387678326,-0.008746666678749236,-0.0026653679867488446,-0.0014916393018114167,40,39,198
pred_fe_b3,2021-09-06,other,-0.0022396968430735504,-0.005522447110701303,-0.0061839623990696015,-0.006346370344118103,0.0032827502676277525,0.003944265555996051,-0.00016240794504850196,42,41,208
pred_fe_b3,2021-09-13,other,0.001607616826088421,0.03628247425468951,0.015290557067104023,0.010074383705340357,-0.03467485742860109,-0.013682940241015603,-0.005216173361763667,42,41,206
